File Name,Job Role,Education,Skills and Highlights
69097572.pdf,TRANSACTION PROCESSING ANALYST,"Art Institute of San Antonio Bachelor of Arts : Media Arts and Animation City , State Media Arts and Animation
Sandra Day O'Connor High School High School Diploma City , State","Adobe, Creative design, Dependable, EVMS, Excellent communication, First Aid, Government security clearance, Honesty, Leadership, Microsoft office, PowerPoint, Staff training, Troubleshooting, Weapons training, ability, adaptable learner, advertisements, art, client satisfaction, coaching, computer graphics, critical thinker, customer, graphic design, integrity, interpersonal communication, loyalty, marketing, messaging, organized individual, page-layout, photography, policies, proficient in SAP, sales, scheduling, service, tear gas training, very fast learner"
79261033.pdf,"DIRECTOR OF OPERATIONS, BPO","Business Management 2001 Bergen Community College City , State , USA","Business Management, Client, Customer Satisfaction, Customer Services, Direct Sales, Director, Enterprise, Executive Management, Network, conversion, customer service experience, direction, focus, forms, hiring, languages, marketing, meetings, performance management, works"
89512321.pdf,SENIOR MANAGER,"Post Graduate Degree
MS - HRM : Human Resources 2007 ICFAI University [Dehradun] , From ICFAI School of HRD , City , India Human Resources
Bachelor of Science : Information Technology Science and Commerce BSc I.T University of Mumbai Birla college of Arts India Information
Technology Science and Commerce","000 employees spread, 000 employees., 03/2007 to 09/2008, 10 critical positions staffed within 45 days., 2011, 98, A seasoned HR professional with over 7 years of HR experience, A&I domain, America., Basic, Basic Leadership Skills, Bi, Change Management, Cincinnati, Company Name 03/2007 to 09/2008, Company Name 09/2008, Company Name Senior Manager 03/2007 to 09/2008, Employee Relations, Enabled deployment and rotation of associates within the US to ensure 98% utilization of resources in BPS North America Responsibilities:, Ensure adherence to IQMS documentation standard to ensure compliance and represent HR during internal and external audits., Expertise in full-cycle recruiting, Focussed Analytics hiring for TCS BPS in North America, Generalist for TCS BPS across various locations like Midland, Green Belt and process improvement projects within HR Employee Relations team Provide inputs in policy and strategic initiatives to the, HR, HR Leadership team., HRMS oracle applications, Hands-on experience in recruitment in the IT and IT Services., Head Talent Acquisition and Resource Management Group - BPS North America Recruitment for Mortgage and Pharma clients in, Hi-Potential program, Human Resource, Human Resource Relationship Manager for all BPS associates in the North America Geography., In North America, India Key Accomplishments: Proficient in Leadership hiring, Jamshedpur, Leadership, Leadership Skills, Leadership hiring for TCS BPS Sales and Solutions function, Location, MI, MI area through various internal and external hiring channels Maintaining hiring budget by ensuring, MS office suite, Mac OS, Maintaining Attrition within permissible limits (Early Warning Indicator, Major strengths include building relationships, Management Group for BPS North America at Tata Consultancy Services in Cincinnati, Management., Managing, Michigan, Midland, Most productive in a fast-paced, Mumbai and Chennai, My areas of specialization are Employee relations, OH in 30 days., OH in less than 60 days Successfully, OH in the US and Mumbai and Chennai in India., Ohio, Ohio Past experience includes working as the HR, Ohio and Midland, Organised by, Organization Development, Organization Development and Change, Performance Management, Period Since Sep 2008 Position Head Talent Acquisition and Resource Management Group - BPS North America Work Location, Pilot and Deploy HR Projects across BFSI vertical Drive the Quarterly promotion process Ensure Promotion assessments are completed in, Policies, Prior to this I have worked at Satyam BPO at Hyderabad from Mar 2007 to Sep 2008 as the HR Employee Relations Specialist in the HR, Professional Experience, Promotion, Provide developmental strategies to the business and performance assessment of employees Adhering to FMLA and FLSA guidelines., Recruitment, Reduced hiring cost for Niche positions by 30% and Non-Niche positions by 45% in FY 14., Sales, Successfully completed hiring for a 50 FTE project for a niche skill (Mortgage) in Cincinnati, TCS is headquartered at New Jersey and employs over 30, Tata Consultancy Services is India's largest IT and IT outsourcing organization with a global workforce of over 305, Title, To ensure participation in various Employer branding survey Design and deploy associate retention plans Identify, Training Attended, Windows, Windows / Mac OS, Work experience of over 3 years in the US Geography as the Head Talent Acquisition and Resource Management Group - BPS North, Year, a first of its kind where associates were hiring to work from client location for, across more than 45 countries., adapting to new procedures as business climates change and, and at the end linking Increment for high performers /exit plan for non-performers., and managing the hiring process., applications, behavioral based interviewing, branding, budget, client, clients, closed 10 critical positions within 45 days., closing, communication skills, communication skills., completed hiring for a 25 FTE project for a niche skill (Pharma) in Cincinnati, currently working as the Head of Talent Acquisition and Resource, deploy and support, documentation, fast, focussed, for TCS in North America, grievance handling Streamlining policies on integrity / disciplinary actions & performance, headhunting through linkedin., high energy, hiring, improvement plan Managing employee performance appraisal process end to end and facilitating any disagreements Monitoring bell curve, meetings, multi-tasking, oracle, performance appraisal, process improvement, processes, query resolution, recruiting, recruitment through vendors is reduced and encouraging internal referrals, relationship roles Focussed hiring for Analytics and Insights for multiple clients, screening resumes, settlements, settlements/severance, stay interviews) Building Employee Connect, strategic, survey Design, team environment., team for a US based process., the Bi-Annual HR Survey [PULSE] in the BFSI vertical., through innovative employee engagement and CSR initiatives Handling other employee-related issues including full & final, time and results circulated to respective stakeholders Drive associate Development plan based on promotion results Drive participation in, time management, web-sourcing and internal movement of associates."
95625660.pdf,ASSOCIATE,"Degree Institution/College/School University/Board Year M.B.A -HR Annamalai University, Chidambaram Annamalai University : 2008
B.B.A Madras University ï¼​ City
Dip : Computer Technology , 2000 Madras University D.C.Tech ï¼​ City Computer Technology
PG Dip : Labour Law & Administrative Law , 1997 S.S.L.C I.C.F Silver Jubilee Matriculation School Labour Law & Administrative Law","Banking, C, CL, CPA, Client, Clients, Credit, HR, Insurance, MIS, Microsoft Dynamics, NAVISION, Sales, Supervising, Vendor management, acquisitions, closing, database, filing, inventory control, negotiation, problem solving, purchasing, quality, requirement, stock control, wise"
10228751.pdf,BUSINESS DEVELOPMENT MANAGER/STAFFING MANAGER,"2003
Bachelor of Science : Health Science option in Health Management and Marketing California State University of Hayward ï¼​ City , State , United
States","05/2003 to 08/2008, 08/2006 to Current, Access and Outlook Express. Â Optimizer, Account management, Attention to detail, Billing, Business Development Manager/Staffing Manager Company Name ï¼​ City, Cold calling, Compensation/benefits administration, Contract review, Critical thinking proficiency, Enthusiastic team player, Excel, Excellent written and verbal communicator, Healthtrust, Hiring recommendations, Interviewing, Maintaining active databases of various hospital proprietary software technology systems., Multi-tasking ability, PowerPoint, Problem solving, Professional Experience, Proficient communicator, Proven patience and self-discipline, Recruiting and selection techniques, Relationship and team building, Skilled negotiator, Staff training and development, Stafferlink, Staffing Coordinator Company Name ï¼​ City, Staffing Manager Company Name ï¼​ City, Staffing management ability, State Created and maintained all absentee calendars, State Manage full cycle staffing, Strategic planning, WFX, agency nurse schedules and staff meeting, aligned to the business opportunity in the market for recruitment, and, and Bullhorn., and Human Resource Directors to ensure all healthcare organization is able to support business growth. Coach and counsel employees regarding, and float nursing personnel to provide adequate, and maintain a database, and maintain a database of clients and applicants that is, and managers' requests. Revises and adjusts unit schedules, and placement . Responsible for job, and placement . Responsible for job postings, and training new employees.Â  Generate new accounts by implementing effective networking and content marketing, applicants. Developed creative recruiting strategies that met anticipated staffing needs. Communicate the duties, applicants.Â Developed creative recruiting strategies that met anticipated staffing needs.Â Communicate the duties, approved employee preferences, as needed in consultation with nurse managers.Â Proactively adjusts and allocates core, attendance & performance, benefits and, compensation, coverage to clinics and inpatient areas to strategically meet real-time staffing requirements in the most cost-effective manner, forecasting, goal setting and performance reporting for all accounts. Negotiate rates to cut costs and benefit corporate, goal setting and performance reporting for all accounts.Â Negotiate rates to cut costs and benefit corporate, hiring, interviewing, licensing and CPR compliance records. Develop computerized schedules for assigned nursing, mediate employee disputes and complaints.Â  Respond Onboard new employees in the time reporting and payroll, mediate employee disputes and complaints.Â RespondÂ Onboard new employees in the time reporting and payroll, minutes. Maintained all confidential personnel files, of clients and applicants that is aligned to the business opportunity in the market for recruitment, partnerships .Â  Demonstrate knowledge of HIPAA Privacy and Security Regulations. Conduct reference and background checks on all job, partnerships.Â Demonstrate knowledge of HIPAA Privacy and Security Regulations.Â Conduct reference and background checks on all job, policies, postings, recruiting, registry, staffing, strategies. Manage budget forecasting, systems . Manage payroll and time and attendance systems., systemsÂ .Â Manage payroll and time and attendance systems., training new employees.Â Generate new accounts by implementing effective networking and content marketing strategies.Manage budget, units based on established staffing patterns, working conditions to all potential candidates. Contact all job applicants to inform them of their application status. Work with Director of Nursing, working conditions to all potential candidates.Â Contact all job applicants to inform them of their application status. Work with Director of Nursing, Â Proficient with Microsoft Word"
10235211.pdf,SENIOR ASSOCIATE BUSINESS DEVELOPMENT,"Associate Degree : Sport Psychology , 2012 National University ï¼​ City , State , usa
High School Diploma : 1983 Midfield high School ï¼​ City , State , usa
Associate of Arts : Golf Management , 08/2011 PGCC Professional Golfers Career College ï¼​ City , State , usa
Professional Golf Management City , State

2011 to present Sport Psychology with audio sound therapy as a side study. Bachelors' degree in progress.

Professional Affiliations

Veterans Administration","Bachelors, Negotiating, Oct, Psychology, acquisitions, audio, business development, client, clients, contracts, databases, financial, meetings, money, negotiator, notes, progress, real estate, settlements, sound, structured"
10289113.pdf,BUSINESS DEVELOPMENT DIRECTOR,"Bachelor of Business Administration : Finance, General Business 1988 Western Michigan University City , State , US

Earned over 85% of all educational/living costs. Jobs worked while in college, industrial heavy construction, excelled at several sales roles including
at direct sales of home goods. While in direct sales I won a national trip and was ranked in the top 10 in the country in sales. Started two","Accounts, Budget, Budgets, Business Development, Clients, Corporate Operations, Development, Distributor Sales, District Sales, Employee Engagement, Financial Operations, Finding New Accounts, Forecasting, Forecasts, Human Resources, Management, Managing Existing Accounts, Marketing, Merchandising, National, Promotional, Relationship Building and Strategic Direction., Sales, Sales Accounts, Sales Management, Sales Promotions, Sales Teams, Sales of Solutions, Strategic Accounts, Strategic Planning, Technology Application Sales, Territory Sales, Training, Travel & Meeting Operations, Travel & Meeting Sales"
10501991.pdf,BUSINESS DEVELOPMENT REPRESENTATIVE,"Bachelors : December 2017 KENNESAW STATE UNIVERSITY, Coles College of Business - City , State
Ph.D. : Professional Sales 113 credit hours earned - Expected 2019 KENNESAW STATE UNIVERSITY, Coles College of Business - City ,
State","2012, Birst/Intradiem Reports, CPR, CPR Certification, Dedicated team player, Highly competitive, Interpersonal skills, MS Office Suite, Mailchimp.com, Pipedrive.com, Research, Sales, SalesForce.com, Self-motivated, agency, client, com, content, customer service, data dictionary, email, financial, marketing, meetings, network, policies, pricing, real estate, reporting, supervision, surveys, telemarketing, telephone, underwriting, website"
10541358.pdf,BUSINESS DEVELOPMENT REGIONAL MANAGER,"May 2012
Arabia Mountain High School 
City , State 
High School Diploma Top 15% of my class 3.7
2017
Darton State College 
City , State Business Administration 
Associate of Applied Science","Advanced use of the Windows XP, Budgets, Budgets & Cost Reduction, Business Development, Client, Client Retention, Cost, Excel spreadsheets, Human Resources, Internal Conflict Resolution, Inventory, Managment, Marketing, Microsoft Office applications, POS, POS and Inventory Training, POS applications/software QuickBooks POS, PR, Pacific Amber POS, PowerPoint, Problem, Problem Solving, Proficient in software such as QuickBooks and Microsoft Office applications.Â, QuickBooks, Recruiting, Recruitment, Reduction, Solving, Time Management, Training and Development, Windows, Windows 8, Windows XP, ad, administrative, administrative support, advertising, and Lightspeed POS, and Windows 10 operating systems., answering phones, back-up, budget, clients, conflict resolution, content, customer service, delivery, email, excel, forms, image, inventory management, leadership, marketing, marketing strategies, meetings, office, online marketing, operating systems, personnel, pivot tables, policies, presentations, profit and loss, promotional materials, public relations, quality, receptionist, reporting, search engines, spreadsheets, strategy, telephone"
10704573.pdf,DIRECTOR OF BUSINESS DEVELOPMENT,"Bachelor of Business Administration (BBA) : Finance and Economics 1996 Augusta State University, Hull College of Business , City , State","(IaaS), 000, 000 contract, 000 in annual sales and $32, 000 in net new opportunities in 12 months., 000 in total contract value., 000 per month in, 000 per month in assigned territory., 000 per month in new deposits as well as $250, 000 per month., 000 to $1, 000 to $800, 500, Accountable for theÂ  Election, Analytical problem solver, Analyzed applicants' financial status, Assisted mortgage brokers and bankers to allow them to maximize revenue per loan and optimize customer relationship., Budget, Business Development, Business development for Software as a Service (SaaS), Captured outstanding performance awards by outperforming established monthly lending of 120% of quota., Company Name City, Complex Sales Strategy, Core Accomplishments, Corporation, Created a niche for the broker allowing them to increase their revenue by fees up to 20%., Created strategies to develop and expand customer sales, Created strategies to develop and expand existing customer base, Devised a plan to catapult a nonperforming retail branch to produce $250, Devised a plan to revitalize the territory delivering an increase in monthly second mortgages from $250, Educated mortgage brokers on the variety of wholesale loan products and available credit options., Engaged non-standard borrowers to leverage all of their financial resources to optimize their borrowing ability., Enterprise Software, Financial Analysis, Generated a pipeline of more than $150, Increased monthly mortgage origination from $100, Increased territory penetration 25% from 19 to 25 States., Infrastructure as a Service, Infrastructure as a Service (IaaS), Managed a portfolio of accounts totaling $10, New business development to capture market share for second mortgage wholesale lending in South Carolina., Professional Experience, Professional Licensing, Proven sales track record, Provided full service business relationship management to leverage all of the deposit, Public Policy, Public Presentations, Public Sector, Public Speaking, Reduced application processing intervals from 4 weeks to 2 days through the restructure and streamline of multiple divisions of government., Relationship selling, Sales Reporting, Securities, Skilled multi-tasker, Software as a Service (SaaS), State Account Manager 03/2006 to 07/2006, State Deputy Secretary of State 01/2007 to 07/2013, State Director of Business Development 07/2013 to Current, State Financial Analyst 07/2004 to 03/2005, State Territory Account Manager 10/2002 to 01/2004, State Territory Manager 03/2005 to 03/2006, State Territory Manager 07/2006 to 01/2007, Statewide Voter Registration software solution., Strategic account development, Strengthened State agency's ability to provide fair, Strong deal closer, Strong interpersonal skills, Targeted new government agencies and new product lines to close 7 deals inÂ one yearÂ in theÂ public sectorÂ industry., Team building expertise, Technical Analysis, Telecommunications, Voice over Internet Protocol (VoIP), Worked closely with other company executives to identify new business opportunities, and Enforcement divisions day-to-day operationsÂ, and Managed Service solutions., and accurate elections to the voters by leading implementation of the new, and lending portfolio of the bank., and telephony, company., credit and property evaluation to determine feasibility of granting loan., for mid-tier market, hardware, including overallÂ constituentÂ satisfaction., investment, managed services, new loans., secure, securing contracts for enterprise government, software, the largest in the history of the, which resulted in a 67% increase in annual sales., which resulted in an $18"
11088337.pdf,BUSINESS DEVELOPMENT MANAGER,"2007
HOBART COLLEGE City , State Bachelor of Arts : English English
May 2007
Media and Society Media and Society","Avid, Budget, Financial, Investments, Microsoft Excel, Microsoft Word, Networks, Personnel, Power Point, Research, SC, Sales, ads, advertising, budgets, business strategies, cable, cash flow, client, client management, clients, coach, content, contracts, customer service, database analysis, email, market, meetings, network, new business development, newsletters, phone, producing, profit, radio, television, video"
11289482.pdf,"BUSINESS DEVELOPMENT MANAGER, VP","BACHELOR OF ARTS : BUSINESS ADMINISTRATION Univerity of Pheonix , State","Accountable for ensuring compliance with pooling and servicing agreements and mortgage backed securities., Accountable for managing quality and effectiveness of all 3rd party law firms including training and audits., Accountable for sales and overall customer satisfaction., Aligns business unit activities to business priorities., Also appeared in litigated and mediated court cases nationally., Call Center, Call center/dialer operations, Change implementation/project management, Closes new business deals by coordinating requirements, Company Name City, Core Accomplishments, Created global scripting for outbound Loss Mitigation campaigns., Created state specific policies and procedures in collaboration with project and implementation teams., Created two specialized teams within unit: High Impact Resolution Unit responsible for reviewing and creating solutions for the Office of the, Customer Service, Ensured compliance with all internal and external audits including OCC, Ensures compliance and quality standards are met in accordance with internal key indicators and investor requirements., Equity, FHA, FHLMC, FNMA, Financial, GCOR, GSE and housing counseling attorney to institute Continued, Government, Influences performance of the business unit by working as a key member of the decision making management team on strategy and building, Initiated audit checklist for vendors resulting in 80% decrease in their average turn times and increasing overall quality by 40% in one year., Leadership, Learning Education seminar for all court systems in NYC area., Led a department consisting of two AVP's, Legal, Liaison between quality control/analytics department and business unit relating to all key indicator reviews and responses., Managed all facets of loss mitigation for private investors within Wells Fargo., Mentored and coached employees resulting in a 12% increase in productivity., Motivated unit to high levels of quality and production.Managed mediation and vendor/relationship management teams., Multi-unit operations management, NY City Bar, NY City Mayors office, Office, Operational Risk, Operations Management: Managed multi-sites and units (150 FTE) Handled multiple functions related to customer care, Participates in HOPE NOW initiatives and foreclosure prevention events., Participates in strategic dialer planning discussions and provides input regarding future direction., Partnered with law firms, Pick, President Foreclosure mediation unit handling all mediations across all investor lines within WFHM., Professional Experience, Project Management: Created policies and procedures for external vendors., Project management, Provides quality customer service to internal and external customers., Relationship and vendor management, Relationship management, Represented Wells Fargo in key legislative meetings in partnership with Government Relations and Legal., Responsible for coaching, Reviewed underwriting decisions for all complex loans made within the unit requiring the highest level of authority within Wells Fargo., Spearheaded cross-functional initiative to achieve new business.Increased profits by 60% in one year through restructure of business line., Spearheaded sales of managemytests.com platform, Staff Development: Launched well-received program of professional development courses for all staff., State Business Development Manager, State Collections Supervisor II 03/2007 to 09/2009, State Lending Manager, Strategic planning, Successfully earned and held E Level authority for Bank and Private, This includes private, Trained mediation program administrators, USDA, Underwriting, VA, VP 09/2009 to 10/2014, VP 12/2014 to Current, Vendor management, Wells Fargo Financial, Wells Fargo Home Equity, Wells Fargo Pick a Pay, Wells Owned, and FHLB., and FHLMC., and investor audits., and magistrates on mortgage servicing basics to build foundations for new mediation, and underwriting, budget, business development, business operations., coaching, collections, communication skills, consultant, contact and underwriters., credit, decision making, departmental effectiveness and performance., developing and managing team members including decisions relative to performance reviews, developing and negotiating contracts, direction, discipline, documentation, etc., external audits, foreclosure, funds, hires, hiring, human resource, influencing, integrating contract requirements with, judges, law, loss, managing, mediation, meetings, mitigation, one business training consultant and 120 FTE that consisted of single points of, operations management, owned, performance reviews, phone, policies, programs across the country., quality, quality control, recording, resulting in a 1.2 million dollar increase in revenue over first six months., risk, salary actions, scripting, securities, senior management, strategic, strategy, ten managers, terminations, website"
11551946.pdf,SENIOR BUSINESS DEVELOPMENT MANAGER,"MBA : Marketing BS & MS (Mech. Engineering), MBA (Marketing).
Presentations
Business development professional with 20+ years track record of success, growing sales of filter/dryer/centrifuge systems using both direct sales
and rep channels in the US, Canada and Mexico. Experienced in developing comprehensive marketing programs and using consultative sales
techniques to promote high-valued products/services. An adaptable communicator skilled in creating visibility, engaging prospects, gaining trust and
fulfilling their needs by leading presentations to all levels of customer personnel","$1, (Heinkel), (Heinkel)., (Sanborn), 000 (Heinkel)., 750, Accomplishments, And Marketing, Asset Management, Auditing, Business Analysis, Business Development, Chromatography, Clients, Consultative Sales, Consulted on process solutions with high-end battery chemicals manufacturer and engineering firm. Created, Developed Sales, Developed a 3-year road-map and provided the strategic guidance required to improve financial operations, Developed sales channel from ground up, Direct, Engineer, Equipment Sales, Filtration, Financial Operations, For, Internet Marketing, Launched campaign to rebrand company as a leading solution provider in solid-liquid separation. Analyzed complex customer requirements, Led cross-functional team to identify customer's unmet needs. Set-up customer focus groups to gather voice-of-customer. Developed ideas, Marketing, Marketing Collateral, Marketing Management, Mba, Million, Mixing, Of Sales, Offshore, Operations, Optimization, Outside Sales, Planned website for content, Pricing, Product Concept, Product Lifecycle, Product Lifecycle Management, Product Manager, Product Positioning, Product Support, Prototype, Prototypes, Sales, Sales And, Sales Channels, Sales In, Sales Of, Sales/Application Engineer: provided direct sales and application engineering expertise to users of size-reduction, Sales/marketing, Sanborn)., Search Engine, Search Engine Optimization, Selling And, Selling Techniques, Seo, Solutions, Strategic Direction, Strategic Planning, Supercharged sales of high-valued filtration systems to customers in the bio-pharmaceuticals, TOM P. PATNAIK Notable Achievements Continued, Testing, The Sales, Thought Leadership, Through Sales, Training, Voice, agro-chemicals, and developed user requirement specifications (URS). Presented the best solution to customer. Generated new product revenue of, and launched high-value filtering centrifuge to pharmaceutical and chemical manufacturers. (Ketema), and other, auditing, carried out business analysis of new product concept. Developed prototype. Established/ran beta site. Commercialized, classifying, complete solution package. Obtained over $5.5 million in equipment sales for the company at 25+% gross margins (Heinkel)., confirmed and fine-tuned, design, drying equipment as well as down-flow/laminar flow booths and active/passive isolation systems to the specialty chemicals, generated concepts, hiring and training manufacturer's reps. Created/implemented, including identifying, industries using consultative selling techniques, intuitive and interactive. Web site has become major & consistent source of inquiries. (Heinkel, layout, making website informative, margins (Heinkel)., meta/alt tags and SEO (search engine optimization). Developed internet marketing philosophy, minerals and, mixing and, other industries. Used consultative sales/relationship-building to generate outstanding bookings each & every year, reduce costs and capitalize on, reps/distributors. Result: ~200% top-line growth at record, specialty chemicals, strategic plan to drive product through sales channels. Achieved sales over $ Â½ million of new and $6 million of rebuilt centrifuges., the company's core competencies. Hired/trained inside and outside sales, the right solution for a demanding requirement. Collaborated closely with customer and engineering firm to design a, through testing, to consistently achieve 50%+ year-over-year growth with outstanding gross margins"
12059198.pdf,DIRECTOR OF BUSINESS DEVELOPMENT,"2016
Grand Canyon University City , State , USA MBA : Business Administration
2008
Arizona State University City , State , USA Bachelor of Science : Exercise Science Small Business MinorÂ ","Accomplishments, Account ManagementÂ, Business DevelopmentÂ, Client Interface, Collaborated with prospective clients to prepare efficient product marketing strategies and drive business development., Communication, Finical AnalystÂ, Increased cost-effectiveness by 20 % through compliance enforcement and implementation of a new quality control system. â€‹â€‹, Increased working network in territory to enhance sales performance.Â, Problem solver, Raised west valley region by 50%, Sales, Strategic planning, Surpassed all sales goals by 25% for east valley region., acute care, administration, benefits, budget, business development, contracts, cultured, customer service, finance, interpersonal, leadership, marketing, presentations, sales, team work., Â Â â€‹, â€‹â€‹"
12230301.pdf,BUSINESS DEVELOPMENT SPECIALIST/AE,BA : Journalism / Marketing - State Journalism / Marketing,"600% in first 18 months., Act as media specialist for clients., B2B, BUSINESS DEVELOPMENT SPECIALIST/AE 09/2012 to 07/2014, CRM, Clicky, Company Name â€“ City, Compile and present comprehensive and creative sales presentations to ad agency media buyers, Complete requested reports in an accurate and timely manner., Conceive, Conceptualize and produce all monthly CRM and direct mail campaigns, DIRECTOR OF MARKETING & ADVERTISING 01/2004 to 01/2012, Defined and tracked campaign effectiveness and adjusted strategies accordingly., Design all reporting methodologies and metrics to quantify and qualify sales figures, Develop new business and manage existing accounts for #1-rated KESQ-TV / kesq.com., Developed all PPC/SEO initiatives, Developed and implemented campaigns for email, Directed and coordinated marketing activities and policies to promote products and services., Google Analytics, Have thorough understanding of the station's websites, Initiated market research studies and analyzed findings., MAJOR ACCOMPLISHMENTS: Increased same-store sales 28%, Maintain relationships and service new and existing advertisers, Negotiate all media contracts, Operate independently and as part of multi-station group., POP/POS, PPC/SEO initiatives, Prepare, Proposed, ROI, ROO, Represent the station in a professional manner in all matters., Research, Responsible for all aspects of company branding, Sell and execute commercial schedules, State, Supervise web site construction, Train, Work History, Working with Company President and General Sales Manager select products for ad inclusion and design ads, Write speeches, academic, acquisitions, ad, ad copy, ads, advertising, agency, allocate and manage multi-million dollar annual budget including development of vendor co-op programs., and ad copy., and present results to company president on a weekly basis., and support services for three branded, average ticket 16% and increased vendor co-op payments over, brand management, branding, broadcast, budget, business owners after assessing their current marketing initiatives to determine targeted best potential customer/patient/client base and, cable, campaign analysis., catalogs, circulars, client, clients, closing, closing ratios, collateral, com, competitive, concept, conceptualize and produce all TV and radio commercials., content, continue / increase KESQ spending levels., contracts, corporate communications, corporate marketing directors and, create monthly reports utilizing, created monthly reports utilizing Google Analytics, design report detailing web activity, designed report detailing web activity, designing, development, direct mail, e-commerce, edit, editing, entities within a 12-showroom chain., etc., execute and assess all retail (and B2B) marketing, external and environmental signage/graphics, in-content sponsorships, including mail list identification and procurement as well as, internet/mobile digital projects and packages., marketing, materials, media effectiveness, negotiate and implement promotional contests, online advertising, plan, potential return on advertising investment., press releases news articles, programming and competitive advantages in the market., promotions and advertising., propose, raffles, research legal implications and regulations, researched and supervised development Company's e-commerce website., search engines and direct mail., store traffic, supervise and manage department staff., to ascertain campaign efficiency, value-added giveaways, web traffic and sales percentages and identify emerging industry trends to Company President., web traffic and sales percentages and to identify emerging industry trends to Company President Re-"
12377803.pdf,BUSINESS DEVELOPMENT MANAGER,"Colorado State University City , State , US Master of Organizational Leadership Human Resources : Leadership Colorado State University-
Global, Denver, CO Master of Organizational Leadership Human Resources, In Progress
Colorado State University City , State , US Master of Business Administration : Business Administration Colorado State University-Pueblo,
Pueblo, CO Master of Business Administration, Degree Plus Program
Bachelor of Business Administration : Accounting Bachelor of Business Administration in Accounting, Degree Plus Program Bachelor of Business
Administration in Management/Marketing
Professional Affiliations
National MS Society, Colorado-Wyoming Chapter, Denver, CO","Able to review the time and resources spent with a prospect client against the return on investment., Accountant, Accounting, Accounts And, Accounts Payable, Accounts Receivable, Analyzing and solving problems., Audit, BUSINESS DEVELOPMENT SKILLS, Billing, Bookkeeping, Budget, Budgeting, Business Development, Cash, Cash Management, Cashiering, Clients, Collections, Comprehensive understanding of the internal processes and organizational structure of businesses., Credit, Credit Card, Customer Service, Database, Developing key relationships., Documentation, Drivers, Existing Accounts, Finance, Forecasting, Human Resources, Identify and capitalizing on opportunities., Identifying important decision makers., Inbound And Outbound, Including Accounting, Inventory, Inventory Control, Knowledge of how to get past the screening processes and to be able to contact important decision makers. MANAGERIAL SKILLS, Liaison, Loss Prevention, Maintenance, Managerial, Marketing, Maximizing revenue at every opportunity., Merchandising, Networking, Networking in a professional manner., Outbound Calls, Payroll, Problem Resolution, Progress, Receptionist, Retail Sales, Sales, Sales Counter, Sales Team, Satisfaction, Stocking, Taking charge of long term projects., Taking responsibility for personal development., Tax Returns, Telemarketing, Testing, Understanding customer requirements., Understanding key business drivers."
12546838.pdf,BUSINESS DEVELOPMENT MANAGER,"Master of Business Administration (M.B.A) : Marketing , May 2009 University of Pune India Marketing
Bachelor of Business Administration (B.B.A) : May 2007 University of Gujarat India","2000, 98, Adobe Photoshop, Automobiles, Basic, Brochures, Corel, Corel Draw, Customer service, Databases, Decision Making, Determined team player., Draw, ERP, ERP: Basic SAP R/3, Editing, Editing Tools: Adobe Photoshop, Excel, Excel and online survey tools. MS Access, General Productivity: MS Office, HP, Internet Explorer, Linux, MIS, MS Access, MS DOS, MS Office, Mac OS, Mac OS X, Machine Tools, Microsoft Word, Multi-tasking, NT servers, Negotiating, Operating Systems, Operating Systems: Windows 95/98/2000/XP/Vista/NT servers, Oracle, Oracle basic, Outlook, Outlook Express, PP, PowerPoint, Presentations, Problem-Solving, Product Development, Proficient in PowerPoint, Programming, Project Management, Project Management Tools: Microsoft Word, Python, QuickBooks, Research, SAP, SAP MM, SAP MM knowledge, SAP Materials Management, SAP PP, SAP R/3, Sales, Senior Management, Software/ Applications: Internet Explorer, Strategic, Strategic analysis, Team Building, Time management, Time management skills with ability to prioritize results., Versatile sales techniques., Vista, Windows 95, Word, acquisitions, advertising, approach, budget, charts, client, clients, closing, color, concept, conferences, delivery, designing, development of product, financial, functional, graphs, hand tools, market, market research, marketing, marketing and product, networking, next, order management, positioning, power tools, pricing, quality, sales development, selling, strategy, team player, trade shows, welding"
12632728.pdf,,,
